"filename", "language", "JSON", "C#", "XML", "UnityShader", "comment", "blank", "total"
"/home/ke/Belgeler/Unity/ballphysics/Assembly-CSharp-Editor.csproj", "XML", 0, 0, 1526, 0, 1, 1, 1528
"/home/ke/Belgeler/Unity/ballphysics/Assembly-CSharp.csproj", "XML", 0, 0, 1482, 0, 1, 1, 1484
"/home/ke/Belgeler/Unity/ballphysics/Assets/Editor/LevelEditor.cs", "C#", 0, 120, 0, 0, 4, 34, 158
"/home/ke/Belgeler/Unity/ballphysics/Assets/Editor/LevelSOEditor.cs", "C#", 0, 32, 0, 0, 0, 11, 43
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/AddressableLoader.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/GameManager.cs", "C#", 0, 41, 0, 0, 4, 9, 54
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/GameplayButtons.cs", "C#", 0, 13, 0, 0, 0, 6, 19
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelCamera.cs", "C#", 0, 69, 0, 0, 0, 22, 91
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelEngine.cs", "C#", 0, 38, 0, 0, 0, 10, 48
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelHandler.cs", "C#", 0, 83, 0, 0, 1, 23, 107
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelLoader.cs", "C#", 0, 51, 0, 0, 0, 12, 63
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelSO.cs", "C#", 0, 90, 0, 0, 2, 22, 114
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelSelectContent.cs", "C#", 0, 33, 0, 0, 0, 6, 39
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/LevelTextHandler.cs", "C#", 0, 51, 0, 0, 0, 12, 63
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/ParticleDust.cs", "C#", 0, 18, 0, 0, 1, 5, 24
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/Player.cs", "C#", 0, 74, 0, 0, 0, 17, 91
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/PlayerMovement.cs", "C#", 0, 120, 0, 0, 12, 30, 162
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/SaveInitializer.cs", "C#", 0, 6, 0, 0, 0, 1, 7
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/SaveStateHandler.cs", "C#", 0, 66, 0, 0, 0, 15, 81
"/home/ke/Belgeler/Unity/ballphysics/Assets/Scripts/TilepackSO.cs", "C#", 0, 10, 0, 0, 0, 5, 15
"/home/ke/Belgeler/Unity/ballphysics/Assets/TextMesh Pro/Shaders/SDFFunctions.hlsl", "UnityShader", 0, 0, 0, 130, 18, 31, 179
